tfidf_ngram_range,query_count,latency_seconds,mrr,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20
"(1, 2)",80,0.026241834862560154,0.22427665183880002,0.1275,0.1540609217171717,0.1360135865445166,0.11000000000000001,0.2563683712121212,0.18098956317601433,0.06999999999999999,0.3164267676767677,0.2041050545006234
"(1, 1)",80,0.007653115099992646,0.2272465334164567,0.13,0.15485953282828283,0.13685703785004863,0.10874999999999999,0.2517597853535353,0.17806039718539618,0.06687499999999999,0.3035022095959596,0.19801803133042944
