system,query_id,latency_seconds,latency_p90_seconds,mrr,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20
TF-IDF,Q059,0.008861125003022607,0.01764666680392111,0.3333333333333333,0.2,0.16666666666666666,0.16958010263680806,0.2,0.3333333333333333,0.24676163983887406,0.15,0.5,0.3242151559007134
TF-IDF,Q060,0.008135333002428524,0.010665783798322082,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q061,0.007852083996112924,0.008058774999517482,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q062,0.007398082998406608,0.008997524800361135,0.5,0.4,0.4,0.34519134224686937,0.2,0.4,0.34519134224686937,0.1,0.4,0.34519134224686937
TF-IDF,Q063,0.007715833002293948,0.008286958599637729,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q064,0.007701665999775287,0.00785497540346114,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q065,0.007445249997545034,0.00764226659812266,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.09189894336865458
TF-IDF,Q066,0.007132250000722706,0.007188158805365674,0.5,0.4,0.2,0.38356636737133565,0.2,0.2,0.2489083270225946,0.1,0.2,0.2489083270225946
TF-IDF,Q067,0.006845166004495695,0.0070485251999343745,0.2,0.2,0.3333333333333333,0.18154179253735267,0.1,0.3333333333333333,0.18154179253735267,0.05,0.3333333333333333,0.18154179253735267
TF-IDF,Q068,0.00687116599874571,0.007157058399752714,0.5,0.4,0.4,0.36005461457723403,0.4,0.8,0.5752054114580177,0.2,0.8,0.5752054114580177
TF-IDF,Q069,0.006992290997004602,0.00719028359890217,0.5,0.2,0.25,0.24630238874073,0.1,0.25,0.24630238874073,0.05,0.25,0.24630238874073
TF-IDF,Q070,0.006858708002255298,0.006907850201241672,0.25,0.2,0.125,0.14606834984270645,0.2,0.25,0.18873103118020404,0.1,0.25,0.18873103118020404
TF-IDF,Q071,0.006873250000353437,0.0070498671979294155,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3333333333333333,0.12325583919272352
TF-IDF,Q072,0.006876542000100017,0.006899183595669456,0.5,0.2,0.2,0.21398626473452756,0.1,0.2,0.21398626473452756,0.05,0.2,0.21398626473452756
TF-IDF,Q073,0.006879792003019247,0.007105166402470786,0.007462686567164179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q074,0.006695582997053862,0.00676461700204527,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q075,0.0069552919958368875,0.007238683600735385,0.5,0.2,0.03333333333333333,0.21398626473452756,0.1,0.03333333333333333,0.13886244387355454,0.05,0.03333333333333333,0.08961728720334347
TF-IDF,Q076,0.006915833000675775,0.00700265840132488,0.16666666666666666,0.0,0.0,0.0,0.1,0.2,0.1208113026994942,0.05,0.2,0.1208113026994942
TF-IDF,Q077,0.006744750004145317,0.006871674799185712,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q078,0.007179709005868062,0.007338199797959533,0.16666666666666666,0.0,0.0,0.0,0.1,0.25,0.13905617951077562,0.05,0.25,0.13905617951077562
TF-IDF,Q079,0.0073821250043693,0.007417441796860658,0.3333333333333333,0.2,0.125,0.16958010263680806,0.2,0.25,0.19958818982773852,0.1,0.25,0.19958818982773852
TF-IDF,Q080,0.007242582993058022,0.007424041601188947,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q081,0.006722457997966558,0.006785349998972378,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q082,0.006774749999749474,0.00680678319913568,0.125,0.0,0.0,0.0,0.1,0.16666666666666666,0.09546043308946733,0.1,0.3333333333333333,0.16547603882265335
TF-IDF,Q083,0.007123082999896724,0.007199300400679931,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.09759501249802542
TF-IDF,Q084,0.00688349999836646,0.007109266602492425,0.16666666666666666,0.0,0.0,0.0,0.2,0.15384615384615385,0.15176219107803537,0.15,0.23076923076923078,0.17921732678123994
TF-IDF,Q085,0.007310166998649947,0.007551391601737123,0.16666666666666666,0.0,0.0,0.0,0.2,0.3333333333333333,0.2032495876139783,0.1,0.3333333333333333,0.2032495876139783
TF-IDF,Q086,0.006923375003680121,0.00729796680243453,0.3333333333333333,0.2,0.3333333333333333,0.23463936301137822,0.1,0.3333333333333333,0.23463936301137822,0.05,0.3333333333333333,0.23463936301137822
TF-IDF,Q087,0.007118749999790452,0.00742399959708564,0.3333333333333333,0.2,0.2,0.16958010263680806,0.1,0.2,0.16958010263680806,0.05,0.2,0.16958010263680806
TF-IDF,Q088,0.006802750001952518,0.006924458201683592,0.3333333333333333,0.2,0.08333333333333333,0.16958010263680806,0.2,0.16666666666666666,0.1736666713479918,0.1,0.16666666666666666,0.15493914050760518
TF-IDF,Q089,0.0071968330012168735,0.007360675401287153,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3333333333333333,0.12011565579805131
TF-IDF,Q090,0.006852500002423767,0.007185758800187614,0.5,0.2,0.3333333333333333,0.2960819109658652,0.1,0.3333333333333333,0.2960819109658652,0.1,0.6666666666666666,0.4065543059249627
TF-IDF,Q091,0.006721749996358994,0.006892782998329494,0.5,0.2,0.3333333333333333,0.2960819109658652,0.2,0.6666666666666666,0.4441228664487979,0.1,0.6666666666666666,0.4441228664487979
TF-IDF,Q092,0.006711082998663187,0.0067509829983464446,0.3333333333333333,0.2,0.125,0.16958010263680806,0.2,0.25,0.20261469210121208,0.2,0.5,0.33960655796515676
TF-IDF,Q093,0.007450583005265798,0.007680282999353949,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1111111111111111,0.056366852960949364
