system,latency_seconds,mrr,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20
Hybrid,0.05934972648001167,0.2938765943233083,0.22080000000000002,0.23437678825633948,0.21744924852783126,0.1628,0.3355699077831004,0.25500363757156186,0.10940000000000001,0.42745891714035694,0.29019017980113965
SBERT,0.054519121163997625,0.28873315676029887,0.204,0.21258894873088385,0.20322374370153465,0.15120000000000003,0.3057915146076484,0.23645193493907954,0.1022,0.39491590336313076,0.2708688511821963
TF-IDF,0.007899743359997956,0.22906379027645846,0.14,0.15467163448791527,0.14513484500426863,0.1108,0.2319989381304662,0.1784840822706741,0.075,0.30362107302871794,0.2057250539935033
Two-Stage,0.04109187454398852,0.29157526130194233,0.20959999999999998,0.22146196460389972,0.2090986787438714,0.152,0.31429324077367665,0.24199348833452286,0.1012,0.4010416286467545,0.27456666050251183
